sen,spe,acc,pre,mcc,auc,auprc
0.5609408410548824,0.9925949660009257,0.9855258550250963,0.5577604535790219,0.5519905776529874,0.960154673650814,0.5127596599544206
0.5402708481824662,0.9932357862508455,0.9858176724641065,0.5707831325301205,0.5481209998559178,0.9609560669007137,0.5158503150070702
0.5459729151817534,0.9934137918758232,0.9860861445079958,0.5798637395912187,0.5556054067018905,0.9592767240259237,0.5264266836459885
0.5580898075552387,0.992939110209216,0.9858176724641065,0.5682148040638607,0.5559224401296152,0.9608158700257314,0.5220593981963317
0.49394155381325733,0.9943156870423772,0.9861211626006771,0.591296928327645,0.5334813897286025,0.9600551909633265,0.521100710382766
# Above is  record ATP
0.5398431931575197,0.9932998682758374,0.9858737014123964,0.5735838116183734,0.5490241628138026,0.9602517051133018,0.5196393534373155
# ----------Above is AVG -------ATP
0.5428824049513705,0.9946211615971235,0.9873332857856073,0.6233502538071066,0.5753543211072462,0.9645567377263877,0.5630018333069078
0.5870910698496905,0.9939542436280338,0.9873903430568433,0.6142460684551342,0.5941158007727104,0.9649054448354134,0.5690500125520305
0.5667550839964633,0.994215211528982,0.9873190214677983,0.6163461538461539,0.5846126334602699,0.9685346907458587,0.5786578612120007
0.5464190981432361,0.9944326847797721,0.9872049069253263,0.6167664670658682,0.5740767557720994,0.965863429567394,0.5710371589872569
0.5755968169761273,0.9935192971264535,0.9867769773910563,0.592896174863388,0.5774669688290333,0.9666412569715465,0.5671181006256654
# Above is  record ADP
0.5637488947833775,0.9941485197320731,0.9872049069253261,0.6127210236075301,0.5811252959882719,0.96610031196932,0.5697729933367722
# ----------Above is AVG -------ADP
0.425,0.9950609661984874,0.9846946507046522,0.6144578313253012,0.5036482809581295,0.9603121623707362,0.5283947478868625
0.4125,0.9948294489890415,0.9842400363691468,0.5963855421686747,0.48838333783676274,0.9583889617739363,0.5265113675506757
0.3958333333333333,0.9957555178268251,0.9848461888164873,0.6333333333333333,0.4936138351445832,0.9599443072490611,0.5071888144248857
0.4625,0.9948294489890415,0.9851492650401577,0.6235955056179775,0.5297711247945214,0.9581230385347532,0.5114233189651655
0.43333333333333335,0.9959098626331224,0.9856796484315805,0.6624203821656051,0.5290208083523955,0.9621106009157792,0.5243657344880949
# Above is  record AMP
0.4258333333333333,0.9952770489273035,0.984921957872405,0.6260385189221783,0.5088874774172785,0.9597758141688532,0.5195767966631368
# ----------Above is AVG -------AMP
0.5417867435158501,0.994700803810658,0.9855326099638315,0.6787003610108303,0.5992131422812697,0.9747195585347292,0.6341375753708247
0.5417867435158501,0.9954153021732659,0.9862326449655816,0.7094339622641509,0.6132278031723252,0.9725094867502936,0.6333120590937608
0.5360230547550432,0.9949985114617446,0.985707618714269,0.6888888888888889,0.6006226908746032,0.974014154411607,0.6264331353396619
0.553314121037464,0.994164930038702,0.9852409287131023,0.6620689655172414,0.5978572816632547,0.9717481444748635,0.6340817907403458
0.5129682997118156,0.9957725513545698,0.9859992999649982,0.714859437751004,0.5988227468623943,0.972071762129013,0.6354845385426106
# Above is  record GDP
0.5371757925072046,0.995010419767788,0.9857426204643565,0.6907903230864231,0.6019487329707695,0.9730126212601012,0.6326898198174407
# ----------Above is AVG -------GDP
0.5324675324675324,0.9930537950616032,0.9825117661629923,0.6422976501305483,0.5760284132377006,0.9427147705680383,0.5881436482235706
0.5086580086580087,0.9941692440298129,0.9830567252910577,0.6714285714285714,0.5760711930591673,0.9439072057081488,0.5841374936238106
0.5108225108225108,0.9941692440298129,0.9831062670299727,0.6723646723646723,0.5777408150607855,0.9439626269723111,0.5887834037033555
0.5194805194805194,0.9933073061907418,0.9824622244240773,0.6451612903225806,0.5701624228426344,0.9441517177409283,0.5850484036844931
0.48917748917748916,0.9941185418039852,0.9825613079019073,0.6608187134502924,0.5600205766976958,0.945817318782892,0.5789702241106258
# Above is  record GTP
0.5121212121212121,0.9937636262231913,0.9827396581620015,0.658414179539333,0.5720046841795968,0.9441107279544637,0.5850166346691712
# ----------Above is AVG -------GTP
